name,artists,year,danceability,energy,valence,popularity,tempo
Camby Bolongo,['Idris Muhammad'],1977,0.894,0.521,0.91,34,126.805
Just One of Those Things,['Stan Getz'],1976,0.585,0.272,0.583,26,90.104
Recognize,"['Warren G', 'The Twinz']",1994,0.878,0.52,0.647,38,90.744
Soul Junction,['Red Garland Quintet'],1957,0.463,0.287,0.196,13,186.764
Flor Marchita - Remasterizado,['Ignacio Corsini'],1921,0.648,0.0995,0.422,0,71.978
Freak in You,['PARTYNEXTDOOR'],2017,0.424,0.419,0.119,62,86.5
ST 100/6,['Big Star'],1972,0.585,0.356,0.265,23,88.758
Madama Butterfly / Act 2: Ora a noi. Sedete qui,"['Giacomo Puccini', 'Giovanni Inghilleri', 'Renata Tebaldi', ""Orchestra dell'Accademia Nazionale di Santa Cecilia"", 'Alberto Erede']",1951,0.307,0.0267,0.0806,0,76.894
My Babe,['Nancy Wilson'],1966,0.634,0.684,0.618,25,75.75
Big Money,['Big Black'],1985,0.361,0.873,0.403,25,177.327
Dead Inside,['Skillet'],2009,0.384,0.909,0.457,48,159.999
Sh Boom (Life Could Be A Dream),['Kenny Vance and the Planotones'],2006,0.715,0.439,0.8859999999999999,42,130.481
Wherever I May Roam - Live with the SFSO,['Metallica'],1999,0.26,0.943,0.191,35,136.349
I Got Carried Away,['Tyrone Davis'],1976,0.528,0.291,0.532,22,86.073
The Ghost Has No Home,"['Cocteau Twins', 'Harold Budd']",1986,0.205,0.0257,0.0581,34,112.679
Slow Down,['Brand Nubian'],1990,0.731,0.857,0.691,49,95.879
"Trio No. 3 in B-Flat Major, K. 502: II. Larghetto","['Wolfgang Amadeus Mozart', 'Lili Kraus', 'Willy Boskovsky', 'Nikolaus Hubner']",1938,0.279,0.127,0.222,0,83.789
Me Persigue Tu Sombra,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,0.488,0.534,0.78,46,181.309
El Bastardo,['Los Rehenes'],2012,0.738,0.441,0.966,50,182.617
Dandy - Mono Mix,['The Kinks'],1966,0.603,0.627,0.865,33,92.092
"Scarborough Fair - Live at Central Park, New York, NY - September 19, 1981",['Simon & Garfunkel'],1982,0.26,0.109,0.252,45,112.751
Our Delight,['Cannonball Adderley'],1958,0.477,0.489,0.821,8,142.477
Lamento No Morro,"['Antônio Carlos Jobim', 'Roberto Paiva']",1956,0.541,0.501,0.4,22,105.565
Speechless (feat. Tori Kelly),"['Dan + Shay', 'Tori Kelly']",2019,0.562,0.383,0.4970000000000001,62,135.15
Good Golly Miss Molly,['The Sonics'],1965,0.578,0.963,0.708,20,88.24
"Canon and Gigue in D Major, P. 37: Canon","['Johann Pachelbel', 'English Chamber Orchestra', 'Raymond Leppard']",1975,0.232,0.119,0.203,29,89.038
6 Underground,['Sneaker Pimps'],1996,0.5870000000000001,0.687,0.402,51,169.938
Save the Last Dance For Me,['Jerry Lee Lewis'],1969,0.481,0.66,0.884,35,162.093
Little Bit,['Lykke Li'],2008,0.8190000000000001,0.736,0.701,56,120.318
Beheaded,['The Offspring'],1989,0.325,0.87,0.5760000000000001,34,148.177
“40” - Live,['U2'],1987,0.371,0.773,0.311,37,145.222
Cha cha cha de las segretarias - Remastered,['Michelino e il suo complesso'],1960,0.8959999999999999,0.546,0.76,24,114.091
"Cao, Cao, Maní Picao","['La Sonora Matancera', 'Celia Cruz']",1959,0.589,0.747,0.841,38,91.159
The Reflex - Dance Mix; 2010 Remaster,['Duran Duran'],1983,0.626,0.905,0.718,31,126.613
So Damn Lucky,['Dave Matthews'],2003,0.522,0.8220000000000001,0.453,41,130.277
Car Crazy Cutie (Stereo),['The Beach Boys'],1963,0.56,0.662,0.916,15,129.072
Ball And Chain - 2001 Remaster,['XTC'],1982,0.5820000000000001,0.7440000000000001,0.674,27,133.344
Chapter 1.16 - Dziewczynka z Luna Parku: Część 1,['Zofia Dromlewiczowa'],1931,0.72,0.265,0.674,0,97.555
"Can't Get Enough Of Your Love, Babe",['Barry White'],1974,0.7440000000000001,0.8190000000000001,0.757,26,110.963
Trouble In Tahiti: I Was Standing in a Garden,"['Leonard Bernstein', 'Columbia Wind Ensemble', 'Nancy Williams']",1950,0.18,0.119,0.0493,0,170.255
A Hundred And Sixty Acres,['Marty Robbins'],1959,0.809,0.5770000000000001,0.8290000000000001,46,121.05
Mi Último Fracaso,['Los Panchos'],1948,0.7040000000000001,0.335,0.54,5,99.495
Love Is The Sweetest Thing,"['Ray Noble', 'Mario Lanza', 'Ray Sinatra']",1951,0.324,0.309,0.337,0,88.13
Show You Off,['Dan + Shay'],2014,0.5429999999999999,0.851,0.779,55,166.054
Ansoo Thi Meri Zindagi,"['Amirbai Karnataki', 'Mohammed Rafi']",1951,0.527,0.0955,0.512,0,71.917
Oogave Oogave Uyyala,['Bhanumathi Ramakrishna'],1943,0.482,0.302,0.762,0,128.343
The Phantom,['Duke Pearson'],1968,0.4920000000000001,0.49,0.693,23,85.197
Who Was In My Room Last Night?,['Butthole Surfers'],1993,0.306,0.889,0.255,54,182.054
Rocks Off,['The Rolling Stones'],1972,0.485,0.943,0.889,37,141.982
Sedan Delivery - Live; 2016 Remaster,"['Neil Young', 'Crazy Horse']",1979,0.339,0.95,0.3229999999999999,26,109.583
"Le nozze di Figaro, K.492 - Original version, Vienna 1786 / Act 2: ""Voi che sapete""","['Wolfgang Amadeus Mozart', 'Cecilia Bartoli', 'Vienna Chamber Orchestra', 'György Fischer']",1991,0.358,0.0851,0.205,40,118.578
I Only Have Eyes For You,['Billie Holiday'],1952,0.505,0.281,0.5429999999999999,11,151.562
Everything You Say,['The Cars'],1987,0.608,0.6679999999999999,0.684,30,116.038
Everybody Loves The Sunshine,['RAMP'],1977,0.64,0.511,0.439,33,137.845
I Wanna Walk,['John Lee Hooker'],1960,0.711,0.334,0.772,14,107.863
Glad You Came,['We Came As Romans'],2012,0.542,0.943,0.277,58,129.996
"Variations on a Waltz by Diabelli, Op. 120: Variation 3: L’istesso tempo","['Ludwig van Beethoven', 'Rudolf Serkin']",1947,0.418,0.0992,0.588,0,136.731
Ο γέρο Νότης,['Αντώνης Διαμαντίδης'],1950,0.419,0.265,0.336,0,97.771
Calvero's Lesson for Life,['Charlie Chaplin'],1952,0.701,0.308,0.401,0,107.023
No Me Se Rajar,['Vicente Fernández'],1978,0.8079999999999999,0.539,0.8959999999999999,56,117.643
I Almost Told You That I Loved You,['Papa Roach'],2009,0.525,0.944,0.459,46,93.039
Confessions of a Dangerous Mind,['Logic'],2019,0.8059999999999999,0.7559999999999999,0.637,63,141.97
I'll Know,['Horace Silver'],1956,0.583,0.333,0.491,12,131.292
Just in Time,"['Judy Holliday', 'Sydney Chaplin', 'Bells Are Ringing Ensemble']",1956,0.507,0.143,0.506,9,121.801
Life Like Weeds,['Modest Mouse'],2000,0.472,0.5710000000000001,0.141,37,129.015
Papillon,['Secret Garden'],1995,0.223,0.198,0.128,41,76.712
The Becoming,['Nine Inch Nails'],1994,0.546,0.956,0.669,40,149.862
Silvertoes,['Parokya Ni Edgar'],1997,0.512,0.745,0.978,50,157.739
"What Is Love - 7"" Mix",['Haddaway'],1993,0.6829999999999999,0.772,0.737,67,123.871
Then and Only Then,['Connie Smith'],1965,0.363,0.517,0.713,19,66.695
Killer Whales,['Smallpools'],2015,0.416,0.8490000000000001,0.677,52,144.844
Cuernito Armani,['El Komander'],2012,0.792,0.65,0.84,56,114.816
Kapitel 43 - Der Page und die Herzogin,"['Georgette Heyer', 'Irina Salkow']",1926,0.6729999999999999,0.186,0.457,2,79.702
Jiggy jiggy bum,['Woody Guthrie'],1958,0.6679999999999999,0.0603,0.802,5,125.19
"Piano Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": IV. Presto","['Frédéric Chopin', 'Robert Casadesus']",1947,0.29,0.0662,0.6659999999999999,0,117.465
Часть 65.4 & Часть 66.1 - Фиеста,['Эрнест Хемингуэй'],1926,0.7040000000000001,0.299,0.254,0,131.19
Gangsta Party,"['Yo Gotti', 'Bun B', '8Ball']",2006,0.915,0.7390000000000001,0.74,39,136.022
Mister Sandman,['Chet Atkins'],1996,0.6459999999999999,0.368,0.468,45,111.719
Часть 228.3 & Часть 229.1 - Триумфальная арка,['Эрих Мария Ремарк'],1945,0.642,0.171,0.611,0,160.222
Froot,['MARINA'],2015,0.614,0.812,0.726,50,120.019
Phobia,"['Suncatcher', 'Mihai M', 'Starshifters']",2018,0.454,0.8640000000000001,0.133,0,135.92
Whatever She's Got,['David Nail'],2014,0.527,0.723,0.888,64,160.465
Subliminal,['Suicidal Tendencies'],1983,0.467,0.885,0.452,53,94.397
King Tut - 45 Version,['Steve Martin and The Toot Uncommons'],1978,0.67,0.698,0.935,44,125.144
Σήκω Διαμάντω,['Αντώνης Διαμαντίδης'],1930,0.481,0.243,0.428,0,106.826
Alta Payer Alto Chhonwa Porechhe,['Tarun Banerjee'],1952,0.612,0.525,0.732,0,112.055
Sexy Music [Bonus Track] (Remastered 2013),['Wink'],1990,0.637,0.934,0.519,35,125.018
Untitled - 2010 Remaster,['The Cure'],1989,0.665,0.6890000000000001,0.182,34,95.048
Man Of Steel,"['Hank Williams, Jr.']",1972,0.595,0.4,0.784,22,81.711
I Live My Life for You,['Firehouse'],1996,0.519,0.517,0.344,51,141.808
Delphium,['Aphex Twin'],1992,0.654,0.371,0.71,39,118.61
Believe,['Breaking Benjamin'],2004,0.645,0.897,0.482,41,105.99
Al Final De Nuestra Historia,['La Arrolladora Banda El Limón De Rene Camacho'],2007,0.738,0.4970000000000001,0.94,52,114.981
Nona,['Mötley Crüe'],1987,0.622,0.659,0.502,35,124.789
Mercy Mercy Me (The Ecology) - Detroit MIx,['Marvin Gaye'],1971,0.376,0.593,0.64,29,93.821
Maamuni Naadha,['M. K. Thyagaraja Bhagavathar'],1944,0.4970000000000001,0.273,0.509,0,73.13
Lost Week-End - 78rpm Version,"['Woody Herman And His Woodchoppers', 'Red Norvo']",1945,0.7759999999999999,0.253,0.736,2,130.811
Agua Salada,['Los Tigres Del Norte'],1994,0.578,0.325,0.928,48,95.94
Here Without You,['The Byrds'],1965,0.635,0.583,0.66,29,119.636
I Almost Do,['Taylor Swift'],2012,0.5670000000000001,0.481,0.233,48,145.865
If,['Bread'],1971,0.388,0.176,0.342,61,97.628
Island Girl,['Elton John'],1975,0.701,0.895,0.415,40,139.915
Bajo El Agua,['Manuel Medrano'],2015,0.616,0.454,0.249,74,99.998
Overdose,['AC/DC'],1977,0.401,0.723,0.247,43,127.781
Helpless - 2017 Remaster,"['Crosby, Stills, Nash & Young']",1977,0.504,0.292,0.417,33,116.012
Mora Dheere Se Ghoonghat,['Amirbai Karnataki'],1944,0.45,0.276,0.575,0,133.282
I Think I Love You,['The Partridge Family'],2005,0.4320000000000001,0.471,0.7829999999999999,44,203.27
Blue Dream,['Dance Gavin Dance'],2011,0.286,0.923,0.471,48,100.79
Jimmy Loves Mary-Anne,['Looking Glass'],1973,0.608,0.604,0.905,32,136.018
Wehrmut,"['Cluster', 'Eno']",1977,0.226,0.0779,0.0472,28,68.602
asmr,['21 Savage'],2018,0.84,0.5429999999999999,0.161,60,170.067
"Quintet No. 4 in G Minor for Strings, K. 516: I. Allegro","['Wolfgang Amadeus Mozart', 'Budapest String Quartet', 'Milton Katims']",1948,0.359,0.129,0.224,0,141.046
Zzyzx Rd. - Pop Mix,['Stone Sour'],2006,0.584,0.611,0.188,50,79.572
"Fantasy in C Major, Op. 15, D. 760 ""Wanderer"": Part IV","['Franz Schubert', 'Elly Ney']",1942,0.425,0.0483,0.126,0,75.304
I Am a Child - 2017 Remaster,['Buffalo Springfield'],1977,0.5579999999999999,0.29,0.85,29,172.261
Sioh Mama,['The Amboina Serenaders'],1957,0.4320000000000001,0.0768,0.3720000000000001,10,102.987
Κοσμογονία,"['Πέτρος Κυριακός', 'Νίτσα Λαζαρίδου']",1935,0.579,0.278,0.562,0,121.267
何日君再來 - 一,['周璇'],1940,0.544,0.115,0.6459999999999999,5,114.34
Merry Christmas Darling (Glee Cast Version),['Glee Cast'],2010,0.3229999999999999,0.466,0.165,48,83.929
Ti Epatha O Variomiros,['Giorgos Papasideris'],1930,0.411,0.326,0.49,0,100.502
Kapitel 290 - Der Page und die Herzogin,"['Georgette Heyer', 'Irina Salkow']",1926,0.721,0.158,0.328,1,128.883
A Different Kind of Pain,['Cold'],2005,0.393,0.775,0.162,44,143.928
Man Come into Egypt,"['Peter, Paul and Mary']",1963,0.6579999999999999,0.259,0.546,18,121.37
TKN (feat. Travis Scott),"['ROSALÍA', 'Travis Scott']",2020,0.7759999999999999,0.509,0.485,84,94.634
Little One,"['Miles Davis', 'Herbie Hancock']",1965,0.4970000000000001,0.174,0.172,23,125.703
Tragedy,['Bee Gees'],1979,0.665,0.532,0.81,64,117.955
Shotta Flow (Feat. Blueface) [Remix],"['NLE Choppa', 'Blueface']",2019,0.894,0.511,0.568,71,120.08
Mil Horas,"['La Sonora Dinamita', 'Alvaro Pava']",2015,0.737,0.688,0.826,51,100.995
"Haydn: String Quartet No. 44 in E Major, Op. 54 No. 3, Hob. III, 59: III. Menuetto (Allegretto)","['Franz Joseph Haydn', 'Pro Arte Quartet']",1935,0.713,0.0784,0.736,0,138.954
Ebar Amay Nao Ma Kole,['K.C.Dey'],1929,0.295,0.0961,0.268,0,75.143
I Can't Make You Love Me,['Dave Thomas Junior'],2013,0.365,0.158,0.074,58,123.531
Blood on My Hands,['The Used'],2009,0.482,0.963,0.223,43,140.047
Gap in the Clouds,['Yellow Days'],2016,0.5760000000000001,0.535,0.196,62,139.939
Strange Cargo,['Freddie Slack And His Orchestra'],1945,0.37,0.182,0.846,1,210.313
Too Marvelous For Words,['Lester Young'],1956,0.523,0.238,0.868,8,181.489
Ask - 2011 Remaster,['The Smiths'],1987,0.453,0.986,0.455,33,166.594
"Cavalleria rusticana: A casa, a casa, amici... Comare Lola","['Pietro Mascagni', 'Fausto Cleva']",1953,0.229,0.153,0.156,0,52.67
Too Good to Say Goodbye,['Bruno Mars'],2016,0.5870000000000001,0.63,0.433,65,76.97
Sexbomb,"['Tom Jones', 'Mousse T.']",2003,0.8009999999999999,0.8759999999999999,0.932,65,122.979
Butter,['A Tribe Called Quest'],1991,0.727,0.38,0.455,51,92.05
La Cabeza del Lechon,"['El Gran Combo De Puerto Rico', 'Gilberto Santa Rosa']",1965,0.632,0.8440000000000001,0.967,21,124.97
Movin' Out (Anthony's Song),['Billy Joel'],1977,0.664,0.88,0.895,55,133.898
I Surrender Dear,['Michel De Villers'],1946,0.645,0.298,0.5429999999999999,0,112.946
Stairway to the Stars,['Glenn Miller'],1939,0.53,0.146,0.56,28,106.25
(We're Gonna) Rock Around The Clock - Single Version,['Bill Haley & His Comets'],1991,0.6809999999999999,0.69,0.622,48,178.71
Sumthin' For Nuthin',['Mötley Crüe'],1987,0.583,0.841,0.6509999999999999,44,124.052
"The Ballad of Sweeney Todd: ""Lift Your Razor High, Sweeney!""","['Stephen Sondheim', 'Sweeney Todd: The Demon Barber of Fleet Street Original Broadway Cast Ensemble', 'Paul Gemignani']",1979,0.406,0.327,0.406,27,136.497
Ilsa Returns to Rick's,['Warner Bros Studio Orchestra'],1943,0.452,0.401,0.148,10,110.275
We've Got a Good Thing Going,['Hank Crawford'],1987,0.561,0.447,0.8859999999999999,33,92.838
The Riddle,"[""Gigi D'Agostino""]",2006,0.74,0.8759999999999999,0.825,66,127.002
Tenías Que Ser Tan Cruel,['Rocío Dúrcal'],1982,0.958,0.384,0.962,47,108.844
Jive At Six,['Ben Webster'],1954,0.484,0.438,0.79,32,171.204
"Das ist bei uns nicht möglich, Kapitel 178","['Sinclair Lewis', 'Frank Arnold']",1935,0.6970000000000001,0.216,0.537,0,105.389
So Much In Love,['Sheena Easton'],1981,0.6829999999999999,0.44,0.618,40,86.354
Lost In Emotion,['Lisa Lisa & Cult Jam'],1987,0.779,0.7559999999999999,0.962,41,119.762
Pee Aur Pila Mere Saqi,['Amirbai Karnataki'],1945,0.7879999999999999,0.0897,0.484,0,120.21
Algo Se Me Fue Contigo,['Rocío Jurado'],1979,0.61,0.321,0.354,37,126.676
"San Quentin - Live at San Quentin State Prison, San Quentin, CA - February 1969 (Version 1)",['Johnny Cash'],1969,0.487,0.674,0.6609999999999999,38,83.841
Can't Go Back,['Descendents'],1987,0.5660000000000001,0.772,0.695,30,98.373
Capítulo 25.2 - el Que Susurraba en la Oscuridad,['H.P. Lovecraft'],1930,0.735,0.441,0.728,0,119.137
Emotion - Single Edit,['Helen Reddy'],1987,0.4920000000000001,0.491,0.6659999999999999,33,131.709
Forró Em Caruarú,['Jackson Do Pandeiro'],1954,0.7290000000000001,0.7809999999999999,0.978,5,90.959
Opening,['Nicholas Hooper'],2009,0.218,0.194,0.114,47,142.457
Trayi,['William Edessa'],2019,0.245,0.111,0.0545,64,83.264
White Lines (Long Version) [Re-Recorded],['Grandmaster Flash & The Furious Five'],2008,0.8140000000000001,0.701,0.7859999999999999,45,114.998
The Way You Are - Extended,['Tears For Fears'],1983,0.298,0.718,0.377,28,66.219
Forsaken,['As I Lay Dying'],2007,0.471,0.994,0.0662,45,120.012
Can You Dig It,['The Monkees'],1968,0.53,0.8640000000000001,0.639,18,124.85
"Pelléas et Mélisande (2006 Digital Remaster), Act II, Scene Two: Interlude","['Claude Debussy', 'Roger Desormière/Choeurs Yvonne Gouverné/Orchestre Symphonique de Paris', 'Roger Desormiere', 'Orchestre Symphonique De Paris']",1941,0.122,0.0239,0.0505,1,73.356
Holy Grail,"['JAY-Z', 'Justin Timberlake']",2013,0.6759999999999999,0.534,0.156,64,145.082
Taboo,['Santana'],1971,0.352,0.723,0.415,29,89.842
When It Rains It Poors,['Twiddle'],2011,0.524,0.872,0.215,52,108.126
Cuidado Con El Corazon,['Alejandra Guzman'],1990,0.588,0.537,0.483,34,141.118
"What Is Love - 7"" Mix",['Haddaway'],1993,0.6829999999999999,0.772,0.737,72,123.871
"It Must Have Been Love - From the Film ""Pretty Woman""",['Roxette'],1990,0.52,0.652,0.722,76,80.609
Šel Jsem Na Koledu,"['Jiří Skopal', 'Symposium Musicum', 'Dětský sbor JITRO']",1952,0.509,0.0736,0.293,13,103.322
El Sol Que Tu Eres (The Sun That You Are) - 1999 Remaster,['Linda Ronstadt'],1987,0.371,0.0268,0.149,33,82.369
Cisco Kid,"['Redman', 'Method Man', 'Cypress Hill', 'War']",2001,0.882,0.899,0.816,53,140.68
Часть 165.2 - Триумфальная арка,['Эрих Мария Ремарк'],1945,0.754,0.159,0.552,0,125.113
"1812 Overture, Op. 49, TH 49","['Pyotr Ilyich Tchaikovsky', 'Leonard Bernstein', 'New York Philharmonic']",1958,0.165,0.224,0.0829,31,79.912
It's Only A Paper Moon - 1998 Digital Remaster,['Frank Sinatra'],1961,0.633,0.1639999999999999,0.7240000000000001,33,135.508
For Once in My Life,['Michael Bublé'],2003,0.551,0.493,0.43,58,94.415
"Quatuor à cordes No. 16 in E-Flat Major, K. 428: II. Andante con moto","['Wolfgang Amadeus Mozart', 'Juilliard String Quartet']",1938,0.16,0.143,0.0508,0,95.811
Sowing Season (Yeah),['Brand New'],2006,0.475,0.703,0.203,51,114.297
The Total Experience,"['Boney James', 'George Duke']",2006,0.562,0.765,0.518,41,99.987
Badi Mushkil Se Dil Ki Beqarari Ko,['Shamshad Begum'],1953,0.562,0.283,0.6859999999999999,1,106.744
Laura,['Erroll Garner'],1945,0.369,0.15,0.129,14,172.762
Slowly We Rot,['Obituary'],1989,0.275,0.947,0.0835,45,107.1
Three Little Fishies (Itty Bitty Poo),['The Three Stooges'],1959,0.723,0.376,0.726,9,130.879
Carnival of the Animals: VII. Aquarium,"['Camille Saint-Saëns', 'Leonard Bernstein', 'New York Philharmonic']",1961,0.409,0.0337,0.407,6,73.866
eat me,['DYING SPASM'],1944,0.37,0.285,0.106,0,101.976
Jaguar,['The Johnny Smith Quintet'],1956,0.5820000000000001,0.309,0.6409999999999999,10,135.298
Secretly,['Jimmie Rodgers'],1990,0.7040000000000001,0.467,0.344,34,76.625
From the Cradle to Enslave,['Cradle Of Filth'],1999,0.342,0.926,0.0972,45,147.313
Taste The Pain - Remastered,['Red Hot Chili Peppers'],1989,0.6409999999999999,0.828,0.7759999999999999,40,104.714
Cheetah,['Gábor Szabó'],1966,0.512,0.6559999999999999,0.723,18,133.62
The Thug In Me,['Spice 1'],1997,0.804,0.6970000000000001,0.495,34,94.218
Try A Little Tenderness,['The Platters'],1958,0.409,0.287,0.399,15,79.375
Hills and Valleys (The Valleys Version),['Tauren Wells'],2017,0.486,0.302,0.45,63,79.258
Часть 129.4 - По ком звонит колокол,['Эрнест Хемингуэй'],1940,0.6629999999999999,0.101,0.475,0,150.549
Happy Flying Carpet,['Michel De Villers'],1946,0.382,0.362,0.885,0,184.877
San Salvadore - Original Mix,['Kahwe'],2015,0.765,0.855,0.648,2,120.015
All The Way - Edit,['Frank Sinatra'],1964,0.224,0.186,0.192,24,73.919
Cantares de Navidad,['Trio Vegabajeño'],2004,0.764,0.396,0.961,36,118.654
My Lover's Prayer,['Otis Redding'],1992,0.688,0.224,0.522,46,123.452
El Cuarto Está por Llegar - Remasterizado,"['Francisco Canaro', 'Ernesto Fama']",1940,0.629,0.521,0.93,0,141.096
Bluebell,['Mitch Miller'],1950,0.637,0.895,0.974,8,104.869
Starring Role,['MARINA'],2012,0.529,0.8,0.41,47,143.992
Song to See You Through,['The Doobie Brothers'],1974,0.612,0.474,0.728,35,102.967
"Children's Corner, L. 113: 6. Golliwog's Cake-walk (Remastered)","['Claude Debussy', 'Oscar Levant']",1942,0.627,0.0988,0.294,0,124.715
Memphis Train,['Buddy Miles'],1970,0.594,0.597,0.728,26,122.994
She Was Hot - Remastered,['The Rolling Stones'],1983,0.487,0.966,0.721,33,151.781
Swearin' to God - Single Version,['Frankie Valli'],2003,0.667,0.785,0.73,40,108.921
What's Left of Me,['Waylon Jennings'],1966,0.632,0.56,0.932,14,129.471
Adua,['Crivel E Coro'],1933,0.636,0.373,0.631,3,130.614
Joy To The World/For Unto Us A Child Is Born - Medley,['Amy Grant'],1992,0.308,0.3229999999999999,0.344,39,99.141
I Can't Live Without My Radio,['LL Cool J'],1985,0.764,0.508,0.862,41,179.257
From the Ground Up - Single Version,['Dan + Shay'],2016,0.524,0.586,0.285,55,101.214
Work This Body,['WALK THE MOON'],2014,0.421,0.831,0.488,58,134.027
At a Medium Pace,['Adam Sandler'],1993,0.513,0.523,0.371,41,155.552
"Swing Low, Sweet Charriot",['Dizzy Gillespie'],1953,0.611,0.232,0.401,4,137.555
The Chill Of An Early Fall,['George Strait'],1991,0.462,0.283,0.266,27,149.407
"Try Everything - From ""Zootropolis""",['Shakira'],2016,0.7040000000000001,0.598,0.472,62,115.483
John Henry,['Lead Belly'],1943,0.411,0.505,0.805,0,146.114
Oh! Look At Me Now - 2001 Digital Remaster,['Bobby Darin'],1962,0.57,0.214,0.451,36,116.627
O tseligkas simpetheriazei,"['Georgia Mitaki', 'Giorgos Anestopoulos']",1940,0.5489999999999999,0.489,0.632,0,104.855
Poonam Ka Chanda,"['Chandrakant', 'Gandhari', 'Krishnabai']",1946,0.769,0.231,0.669,0,88.489
Walk Away With Me,['Johnnie Taylor'],1997,0.7340000000000001,0.433,0.215,32,118.287
Gnossiennes Nos. 1-3 - Remastered,"['Erik Satie', 'William Masselos']",1949,0.285,0.00625,0.0392,15,69.653
"I Don't Know Where I'm Bound - Live at San Quentin State Prison, San Quentin, CA - February 1969",['Johnny Cash'],1969,0.568,0.357,0.301,24,122.015
Muchachita Porteña - Remasterizado,['Francisco Canaro'],1940,0.467,0.546,0.847,0,95.759
Pieces Of April,['Three Dog Night'],1982,0.5579999999999999,0.211,0.431,30,89.343
Sexy Bitch (feat. Akon),"['David Guetta', 'Akon']",2009,0.813,0.627,0.8009999999999999,63,130.011
Mori tosupitsa tou papa,['Sotiris Stasinopoulos'],1950,0.495,0.604,0.933,0,76.977
"Brahms: Violin Concerto in D Major, Op. 77: II. Adagio","['Johannes Brahms', 'Yehudi Menuhin', 'Wilhelm Furtwängler', 'Lucerne Festival Orchestra']",1950,0.158,0.142,0.036,0,76.435
Big Sis,['SALES'],2016,0.825,0.482,0.338,59,99.991
How D'Ya Like Your Eggs In The Morning,"['Dean Martin', ""Helen O'Connell""]",1951,0.6970000000000001,0.252,0.8109999999999999,33,132.916
Siglo Xxi,['Antonio Morel'],1933,0.578,0.453,0.913,0,131.949
Spectrum,"['Zedd', 'Matthew Koma']",2012,0.609,0.8009999999999999,0.407,61,129.99
Some Cut (feat. Cutty),"['Trillville', 'Cutty']",2009,0.901,0.512,0.638,53,85.012
With God On Our Side,['The Neville Brothers'],1989,0.343,0.0308,0.0997,40,68.313
Der Schallplattenverkäufer,"['Gunter Neumann', 'Theo Lingen', 'Werner Oehlschlaeger']",1938,0.623,0.276,0.665,0,76.365
God Bless The U.S.A.,['Lee Greenwood'],1992,0.299,0.422,0.168,60,67.797
If It Wasn't For The Nights,['ABBA'],1979,0.701,0.879,0.895,51,105.642
Já Mám V Levé Noze,"['Bohumil Kulínský', 'Dětský sbor Čs. rozhlasu']",1952,0.778,0.426,0.836,5,132.169
Move Around,['Stephen Stills'],1972,0.339,0.604,0.488,22,117.293
Excuse,['C418'],2011,0.487,0.00692,0.0352,55,85.973
I Will Follow Him,['Dee Dee Sharp'],1962,0.682,0.5589999999999999,0.889,12,121.731
Mother's Little Helper - Mono,['The Rolling Stones'],1966,0.601,0.564,0.643,20,101.295
Águas De Março,"['Antônio Carlos Jobim', 'Elis Regina']",1988,0.649,0.321,0.5720000000000001,26,143.719
Petrouchka - Version 1911 - Scene 2: Petrouchka's Room,"['Igor Stravinsky', ""L'Orchestre de la Suisse Romande"", 'Ernest Ansermet']",1946,0.25,0.189,0.0898,0,74.821
Freight Train Blues,['Roy Acuff'],1936,0.831,0.245,0.698,2,137.087
Chega De Saudade (No More Blues),['Quincy Jones'],1962,0.67,0.529,0.706,27,106.592
Calaveras y Diablitos,['Los Fabulosos Cadillacs'],2005,0.753,0.47,0.823,59,92.228
Do You Think I Really Care,['The Rolling Stones'],1978,0.609,0.902,0.952,22,146.733
Agnus Dei - Live,['Michael W. Smith'],2001,0.3229999999999999,0.34,0.0983,47,135.842
Would'n You,['Miles Davis Sextet'],1956,0.527,0.4,0.7040000000000001,15,75.961
Runaway,['Bon Jovi'],1994,0.482,0.904,0.555,43,152.268
Knee Drops,['Louis Armstrong & His Hot Seven'],1928,0.8390000000000001,0.333,0.966,4,106.661
Vieja Milonga - Remasterizado,['Ignacio Corsini'],1928,0.507,0.277,0.809,0,75.881
Yo Quisiera,['Reik'],2005,0.684,0.65,0.7809999999999999,55,77.98
All I Need,['The Temptations'],1967,0.594,0.632,0.743,26,98.121
Shopping for Clothes - Live,['Jim Croce'],1989,0.7390000000000001,0.308,0.758,32,112.197
El Manisero,['Pérez Prado'],1949,0.526,0.489,0.742,19,94.422
Vamos Pa'l Campo,['Johnny Ventura y su Combo'],1985,0.632,0.657,0.8370000000000001,27,114.997
Bankroll,"['Future', 'Lil Uzi Vert']",2020,0.83,0.735,0.682,55,139.932
Crystal Blue Persuasion (45 Version),['Tommy James & The Shondells'],1969,0.63,0.292,0.765,42,99.348
How It Go,['King Von'],2020,0.802,0.481,0.228,66,127.968
Carmen : Acte III - Je suis Escamillo (Duo),"['Orchestre Piero Coppola', 'Louis Musy', 'José De Trévi', 'Piero Coppola']",1927,0.468,0.132,0.5329999999999999,0,95.824
Le cheval de Carpentras,"['Jean Giono', 'Taos Amrouche']",1954,0.608,0.165,0.5329999999999999,0,70.914
Love Like Crazy,['Lee Brice'],2010,0.535,0.725,0.292,63,78.489
