name,artists,year,danceability,energy,valence,popularity,tempo
Suleika,"['Franz Schubert', 'Irmgard Seefried', 'Erik Werba']",1952,0.401,0.054,0.162,0,123.308
Freight Train Blues,['Roy Acuff'],1938,0.555,0.506,0.706,10,171.736
Midnight Train to Georgia - Short Version,['Gladys Knight & The Pips'],1973,0.434,0.421,0.387,47,177.46
Brazil - Alternate Take,['Antônio Carlos Jobim'],1970,0.408,0.41,0.7090000000000001,38,96.139
Dime Que Sí - Remasterizado,"['Francisco Canaro', 'Francisco Amor']",1939,0.337,0.428,0.585,0,173.057
Hava Nageela - Live,['Harry Belafonte'],1959,0.4320000000000001,0.282,0.647,13,154.653
"Partita No. 2 in D Minor, BWV 1004: V. Chaconne","['Johann Sebastian Bach', 'Jascha Heifetz']",1946,0.316,0.0906,0.476,0,142.846
Let Out,['Gary Wright'],1975,0.682,0.294,0.598,33,101.538
Take A Look (At Yourself),"['Guru', 'Roy Ayers']",1993,0.6729999999999999,0.62,0.7829999999999999,49,83.902
Treacherous - Original Demo Recording,['Taylor Swift'],2012,0.828,0.64,0.519,48,109.993
Mi Cafetal,['Hermanas Lima'],1951,0.6759999999999999,0.31,0.977,14,140.285
Perdóname Mi Vida,['Javier Solís'],1957,0.3720000000000001,0.277,0.43,6,104.419
Never Again,['Nickelback'],2001,0.5920000000000001,0.907,0.919,56,135.674
Surrender - Remastered 2008,['U2'],1983,0.51,0.958,0.511,28,116.498
Mujhe Shikwa Nahin,['Khursheed Bano'],1944,0.385,0.231,0.467,0,92.432
Night Flower - Remastered 2003/Rudy Van Gelder Edition,['Donald Byrd'],1961,0.4370000000000001,0.113,0.117,12,101.483
"Medley: They Say It's Wonderful, How Deep Is the Ocean, I Don't Stand a Ghost of a Chance with You, My Old Flame, Body and Soul",['The Modern Jazz Quartet'],1957,0.526,0.0384,0.203,11,113.919
"Worry, Worry","['Johnny ""Big Moose"" Walker']",1978,0.472,0.386,0.435,30,184.853
Out of My Mind (feat. Nicki Minaj),"['B.o.B', 'Nicki Minaj']",2012,0.645,0.715,0.8009999999999999,52,131.969
Часть 42.2 - Зеленые холмы Африки,['Эрнест Хемингуэй'],1935,0.715,0.153,0.6970000000000001,0,130.768
Hogwarts' Hymn,['Patrick Doyle'],2005,0.179,0.25,0.041,50,67.507
I've Got the World on a String - Live from Madison Square Garden,['Michael Bublé'],2009,0.542,0.5760000000000001,0.481,53,101.3
All of Me,['Willie Nelson'],1978,0.594,0.481,0.521,43,144.119
I Love Paris,['Cal Tjader'],1959,0.601,0.502,0.7070000000000001,18,116.206
"Oboe Concerto in C Major, K. 314: 1. Allegro aperto - Cadenza: Randall Wolfgang","['Wolfgang Amadeus Mozart', 'Randall Wolfgang', 'Orpheus Chamber Orchestra']",1988,0.521,0.11,0.379,47,120.767
Clumsy,['Our Lady Peace'],1997,0.382,0.831,0.613,46,170.053
Mueve Mueve - I Like to Move It,['Sandy & Papo'],1996,0.901,0.732,0.941,46,131.87
Let Yourself Go,"['Ella Fitzgerald', 'Paul Weston And His Orchestra']",1958,0.593,0.199,0.6890000000000001,20,155.754
Black Metal,['Venom'],1982,0.291,0.758,0.446,50,80.601
Devil on My Shoulder,['Billy Talent'],2009,0.588,0.892,0.565,39,95.905
Adagio II,"['Wolfgang Amadeus Mozart', 'William Kapell']",1945,0.392,0.0722,0.253,0,92.167
Aida / Act 2: Marcia,"['Giuseppe Verdi', ""Orchestra Del Teatro Dell'Opera Di Roma"", 'Sir Georg Solti']",1962,0.315,0.326,0.271,33,147.88
Enormous Penis,"[""Da Vinci's Notebook""]",2002,0.7,0.341,0.5670000000000001,56,118.958
I Wanna Be Your Hero - Revised Version,['Def Leppard'],1987,0.495,0.932,0.244,30,129.634
Open Your Heart,['Europe'],1984,0.433,0.455,0.391,55,121.888
But Beautiful,['Carmen McRae'],1955,0.409,0.212,0.136,3,64.051
"Rudy, A Message To You",['Dandy Livingstone'],2002,0.931,0.39,0.878,54,107.305
"Almost There - From ""The Princess and the Frog"" / Soundtrack Version",['Anika Noni Rose'],2009,0.535,0.448,0.557,62,78.784
Scarlet Fever,['Kenny Rogers'],1983,0.625,0.4920000000000001,0.705,37,83.067
"West Side Story: Act I: Gee, Officer Krupke","['Leonard Bernstein', 'Russ Tamblyn', 'Johnny Green', 'Tony Mordente', 'David Winters', 'Eliot Feld', 'Bert Michaels', 'West Side Story Orchestra']",1961,0.643,0.483,0.8540000000000001,13,74.83
Mere Bhaiya Ko Meri Umar,['Snehprabha'],1941,0.495,0.0865,0.7440000000000001,0,185.74
Acabare Llorando,['Jeanette'],1981,0.6659999999999999,0.386,0.593,31,114.624
Paint It Black,['Gob'],1998,0.426,0.977,0.449,41,170.008
El puñal y el corazón,['Café Tacvba'],1994,0.6779999999999999,0.754,0.961,46,162.95
"Dance, Baby!",['boy pablo'],2017,0.602,0.601,0.856,71,122.017
Teach Me Tonight,['Al Jarreau'],1981,0.285,0.294,0.264,36,206.128
Como Pelea de Novios - Remasterizado,"['Francisco Canaro', 'Carlos Roldán']",1944,0.6509999999999999,0.204,0.927,0,106.14
"Don Giovanni, K. 527: Deh, vieni alla finestra","['Wolfgang Amadeus Mozart', 'Umberto Urbano', 'Orchestra']",1929,0.486,0.225,0.347,0,126.542
Throw The 'D',['2 LIVE CREW'],1987,0.955,0.688,0.491,36,123.284
Esta luz nunca se apagará - There Is a Light That Never Goes Out,['Mikel Erentxun'],1992,0.519,0.888,0.812,49,147.913
Phaili Hui Hai Sapnon Ki Bahen,['Lata Mangeshkar'],1955,0.524,0.468,0.622,5,77.629
Aaj Machi Hai Dhoom,['Uma Devi'],1947,0.635,0.228,0.579,0,103.03
Twelve,['Mushy Peas'],1937,0.494,0.211,0.132,0,95.391
Point and Shoot,['Pepper'],2006,0.7020000000000001,0.598,0.5920000000000001,40,87.017
Lovers in Japan,['Coldplay'],2008,0.202,0.733,0.0728,51,118.217
Windfall - 2015 Remaster,['Son Volt'],1995,0.389,0.586,0.526,53,133.637
I Am A Simple Man,['Ricky Van Shelton'],1987,0.7929999999999999,0.804,0.938,34,117.123
Ghost Town,"['Kanye West', 'PARTYNEXTDOOR']",2018,0.573,0.545,0.297,75,83.378
Rendezvous,['Craig David'],2000,0.665,0.551,0.848,55,79.99
Black Denim Trousers & Motorcycle Boots,['The Cheers'],1963,0.726,0.638,0.961,15,153.472
Turn up the Speakers - Radio Edit,"['Afrojack', 'Martin Garrix']",2014,0.6940000000000001,0.9,0.293,54,127.997
You're All I Need,['Mötley Crüe'],1987,0.531,0.79,0.415,52,92.162
Your Song,['Elton John'],1970,0.551,0.27,0.289,55,128.221
Fisher's Wife,['Michel De Villers'],1946,0.6679999999999999,0.478,0.825,0,103.831
The Closer I Get to You,"['Roberta Flack', 'Donny Hathaway']",1977,0.49,0.321,0.229,56,121.377
Please Don't Leave Me,['P!nk'],2008,0.589,0.845,0.746,59,138.026
The Eagle Will Rise Again,['The Alan Parsons Project'],1978,0.5539999999999999,0.186,0.119,38,82.728
Hard Candy Christmas,['Dolly Parton'],1984,0.531,0.397,0.235,55,99.822
Calvin,['The Jon Spencer Blues Explosion'],1998,0.831,0.8270000000000001,0.446,38,173.617
Les Millions D'arlequin,['Fred Gouin'],1930,0.345,0.328,0.315,0,69.553
If I Could Only Fly,['Blaze Foley'],2010,0.601,0.128,0.431,45,95.908
Lip Gloss And Black,['Atreyu'],2002,0.318,0.8079999999999999,0.219,47,147.74
Who Is Who,['Adolescents'],1981,0.461,0.956,0.575,31,92.262
No Quiero Saber - 1996 Version,['Selena'],2010,0.778,0.815,0.831,47,119.59
